2020/7/27,1413,11,1413 桧家Ｈ,1533,1560,1515,1560,29700,東証１部
2020/7/27,1414,11,1414 ショーボンド,4710,4800,4705,4790,100200,東証１部
2020/7/27,1417,11,1417 ミライＨ,1598,1604,1586,1598,294100,東証１部
2020/7/27,1418,91,1418 インターライフ,246,262,241,255,418900,ＪＡＱ
2020/7/27,1419,11,1419 タマホーム,1161,1191,1158,1189,283300,東証１部
2020/7/27,1420,11,1420 サンヨーホーム,616,616,602,612,9100,東証１部
2020/7/27,1429,11,1429 日本アクア,621,638,618,638,39900,東証１部
2020/7/27,1430,11,1430 ファーストＣ,606,606,589,600,72300,東証１部
2020/7/27,1431,13,1431 Lib Work,2050,2184,2050,2169,10000,東証マ
2020/7/27,1433,11,1433 ベステラ,990,1009,988,1009,12300,東証１部
2020/7/27,1434,12,1434 ＪＥＳＣＯ,437,464,432,464,119000,東証２部
2020/7/27,1435,11,1435 インベスターズ,165,167,163,164,268400,東証１部
2020/7/27,1436,13,1436 フィット,739,747,728,741,2600,東証マ
2020/7/27,1438,12,1438 岐阜造園,0,0,0,0,0,東証２部
2020/7/27,1439,13,1439 安江工務店,0,0,0,0,0,ＪＡＱ
2020/7/27,1443,12,1443 技研Ｈ,285,288,285,287,48300,東証２部
2020/7/27,1444,33,1444 ニッソウ,3790,3800,3740,3800,1100,名古セ
2020/7/27,1446,13,1446 キャンディル,556,570,552,562,36100,東証マ
2020/7/27,1447,13,1447 Itbookホール,591,607,583,590,554900,東証マ
2020/7/27,1448,11,1448 スペースバリュー,355,365,353,365,70300,東証１部
2020/7/27,1450,91,1450 田中建設工業,3645,3840,3645,3840,1000,ＪＡＱ
2020/7/27,1451,12,1451 ＫＨＣ,581,582,580,581,3500,東証２部
2020/7/27,1456,11,1456 大和225ベア,5900,5920,5840,5840,2511,東証１部
2020/7/27,1457,11,1457 大和TPXベア,7030,7060,6930,6930,7404,東証１部
2020/7/27,1458,11,1458 楽天レバレッジ,11180,11480,11170,11430,269316,東証１部
2020/7/27,1459,11,1459 楽天Ｗインバース,3110,3115,3030,3035,857991,東証１部
2020/7/27,1460,11,1460 クオリティ投信,19320,19320,19320,19320,4,東証１部
2020/7/27,1464,12,1464 大和J400ダブル,9300,9560,9300,9560,35,東証１部
2020/7/27,1465,11,1465 大和J400ベア,0,0,0,0,0,東証１部
2020/7/27,1466,11,1466 大和J400ダブル,3830,3840,3730,3730,622,東証１部
2020/7/27,1467,11,1467 JPX日経400ブル,8800,9080,8800,8960,510,東証１部
2020/7/27,1468,11,1468 JPX日経400ベア,6640,6660,6640,6660,40,東証１部
2020/7/27,1469,11,1469 JPX400ベア2倍,3800,3825,3710,3725,1720,東証１部
2020/7/27,1470,11,1470 ＮＦ J400レバ,18830,18830,18830,18830,36,東証１部
2020/7/27,1471,11,1471 ＮＦ J400インバ,4395,4395,4395,4395,5,東証１部
2020/7/27,1472,11,1472 ＮＦ J400ダブル,1487,1538,1487,1488,875,東証１部
2020/7/27,1473,11,1473 DIAM トピックス,1571,1591,1567,1591,20030,東証１部
2020/7/27,1474,11,1474 DIAM JPX400,14140,14320,14130,14320,5838,東証１部
2020/7/27,1479,11,1479 ダイワ人材設,0,0,0,0,0,東証１部
2020/7/27,1480,11,1480 企業価値ETF,0,0,0,0,0,東証１部
2020/7/27,1481,11,1481 日本経済貢献株,1534,1547,1534,1547,64,東証１部
2020/7/27,1482,11,1482 is米国債ヘッジ,2523,2524,2522,2524,3446,東証１部
2020/7/27,1483,11,1483 is設備人材投,1501,1533,1500,1530,11,東証１部
2020/7/27,1484,11,1484 ETF設備人材投,1531,1531,1531,1531,10,東証１部
2020/7/27,1485,11,1485 Ｊ積極投資,24540,24540,24540,24540,1,東証１部
2020/7/27,1486,11,1486 上場米債為替無,22110,22110,22020,22040,133,東証１部
2020/7/27,1487,11,1487 上場米債為替有,19760,19760,19760,19760,17,東証１部
2020/7/27,1488,11,1488 上場東証リート,1718,1727,1696,1727,16890,東証１部
2020/7/27,1489,11,1489 日経高配指数,27260,27530,27080,27510,2407,東証１部
2020/7/27,1490,11,1490 上場ＭＳＣＩβ,8320,8320,8320,8320,10,東証１部
2020/7/27,1491,12,1491 中外鉱,19,20,19,20,400000,東証２部
2020/7/27,1492,11,1492 JPX日経中小,13280,13280,13130,13200,47,東証１部
2020/7/27,1493,11,1493 ＥＴＦ ＪＰＸ日経中小型,13040,13040,13040,13040,2,東証１部
2020/7/27,1494,11,1494 ＥＴＦ 高配当日本株,15340,15500,15340,15470,30,東証１部
2020/7/27,1495,11,1495 ＥＴＦ アジアリート,9540,9660,9540,9600,250,東証１部
2020/7/27,1496,11,1496 ＥＴＦ投適格債,2695,2695,2682,2693,2351,東証１部
2020/7/27,1497,11,1497 ＥＴＦハイイールド債,2300,2300,2284,2287,1449,東証１部
2020/7/27,1498,11,1498 Ｏｎｅ ＥＴＦ ＥＳＧ,11660,11750,11660,11750,59,東証１部
2020/7/27,1499,11,1499 ＭＸ高配MN,8260,8260,8100,8100,139,東証１部
2020/7/27,1514,11,1514 住金Ｈ,124,126,123,126,99900,東証１部
2020/7/27,1515,11,1515 日鉄鉱,4375,4375,4255,4365,23400,東証１部
2020/7/27,1518,11,1518 三井松島,780,780,762,772,52300,東証１部
2020/7/27,1540,11,1540 純金信託,6340,6450,6320,6450,331156,東証１部
2020/7/27,1541,11,1541 プラチナ信託,3060,3090,3025,3050,227251,東証１部
2020/7/27,1542,11,1542 純銀信託,7710,7980,7590,7920,92357,東証１部
2020/7/27,1543,11,1543 パラジウム信託,73000,74200,71600,73500,1132,東証１部
2020/7/27,1545,11,1545 ナス100連動,11240,11320,11230,11310,159440,東証１部
2020/7/27,1546,11,1546 ダウ連動投信,27390,27560,27390,27430,14669,東証１部
2020/7/27,1547,11,1547 上場米国株,3700,3715,3690,3700,79250,東証１部
2020/7/27,1550,11,1550 MAXIS海外株,2458,2474,2457,2470,5810,東証１部
2020/7/27,1551,11,1551 ＪＴＯＰ２０投信,4475,4550,4470,4485,200,東証１部
2020/7/27,1552,11,1552 ＶＩＸ短期先物,10290,10290,10060,10100,225302,東証１部
2020/7/27,1553,31,1553 ＭＸＳ東海,2325,2355,2325,2355,20,名証１部
2020/7/27,1554,11,1554 ＭＳＣ世界株,2144,2161,2144,2159,5300,東証１部
2020/7/27,1555,11,1555 豪州リート,1253,1253,1240,1248,5750,東証１部
